Chrom.1,
UV,
ml,mAU
27.314178,-0.014168
27.34082,-0.012746
27.367462,-0.011636
27.394104,-0.013188
27.420746,-0.013266
27.447388,-0.010149
27.47406,-0.009937
27.500702,-0.010763
27.527344,-0.010774
27.553986,-0.01013
27.580627,-0.007813
27.607269,-0.007636
27.633911,-0.007732
27.660553,-0.007687
27.687195,-0.008547
27.713837,-0.008046
27.740479,-0.00964
27.767151,-0.011084
27.793793,-0.010309
27.820435,-0.010359
27.847076,-0.009616
27.873718,-0.008252
27.90036,-0.007947
27.927002,-0.006173
27.953644,-0.005219
27.980286,-0.003491
28.006927,-0.002895
28.0336,-0.004205
28.060242,-0.002662
28.086884,-0.002479
28.113525,-0.005343
28.140167,-0.007185
28.166809,-0.007621
28.193451,-0.009688
28.220093,-0.012075
28.246735,-0.01387
28.273376,-0.011017
28.300018,-0.010552
28.326691,-0.011677
28.353333,-0.009252
28.379974,-0.00511
28.406616,-0.003246
28.433258,-0.002901
28.4599,-0.002482
28.486542,-0.002992
28.513184,-0.004631
28.539825,-0.007675
28.566467,-0.009405
28.59314,-0.007918
28.619781,-0.008942
28.646423,-0.010754
28.673065,-0.011079
28.699707,-0.012401
28.726349,-0.01226
28.752991,-0.013756
28.779633,-0.015333
28.806274,-0.016557
28.832916,-0.015419
28.859558,-0.012685
28.88623,-0.011875
28.912872,-0.011825
28.939514,-0.01103
28.966156,-0.009927
28.992798,-0.008256
29.01944,-0.009464
29.046082,-0.008668
29.072723,-0.008725
29.099365,-0.007794
29.126007,-0.005755
29.152679,-0.007386
29.179321,-0.006479
29.205963,-0.004554
29.232605,-0.00426
29.259247,-0.007195
29.285889,-0.009127
29.312531,-0.006922
29.339172,-0.007199
29.365814,-0.009319
29.392456,-0.01019
29.419098,-0.007305
29.44577,-0.006221
29.472412,-0.006151
29.499054,-0.005856
29.525696,-0.006968
29.552338,-0.009418
29.578979,-0.010244
29.605621,-0.010707
29.632263,-0.01036
29.658905,-0.008985
29.685547,-0.00994
29.712219,-0.01134
29.738861,-0.011423
29.765503,-0.011622
29.792145,-0.014457
29.818787,-0.016664
29.845428,-0.015127
29.87207,-0.011785
29.898712,-0.010601
29.925354,-0.009203
29.951996,-0.006463
29.978638,-0.003373
30.00531,-0.002289
30.031952,-0.003254
30.058594,-0.004917
30.085236,-0.006688
30.111877,-0.007982
30.138519,-0.008453
30.165161,-0.008759
30.191803,-0.009165
30.218445,-0.008375
30.245087,-0.004949
30.271759,-0.004731
30.298401,-0.006843
30.325043,-0.006886
30.351685,-0.006847
30.378326,-0.008876
30.404968,-0.012734
30.43161,-0.013212
30.458252,-0.013751
30.484894,-0.014537
30.511536,-0.015299
30.538177,-0.012434
30.56485,-0.011385
30.591492,-0.010765
30.618134,-0.009953
30.644775,-0.011469
30.671417,-0.014286
30.698059,-0.016796
30.724701,-0.018076
30.751343,-0.017373
30.777985,-0.018241
30.804626,-0.018632
30.831299,-0.015965
30.857941,-0.015129
30.884583,-0.014024
30.911224,-0.012701
30.937866,-0.01392
30.964508,-0.015816
30.99115,-0.0166
31.017792,-0.016241
31.044434,-0.016591
31.071075,-0.019892
31.097717,-0.01974
31.12439,-0.017544
31.151031,-0.014766
31.177673,-0.013538
31.204315,-0.012415
31.230957,-0.012377
31.257599,-0.012578
31.284241,-0.014092
31.310883,-0.015242
31.337524,-0.014875
31.364166,-0.013801
31.390839,-0.013665
31.41748,-0.011845
31.444122,-0.010023
31.470764,-0.009438
31.497406,-0.012453
31.524048,-0.013414
31.55069,-0.013852
31.577332,-0.015213
31.603973,-0.017405
31.630615,-0.017279
31.657257,-0.015042
31.683929,-0.014814
31.710571,-0.014495
31.737213,-0.013504
31.763855,-0.013977
31.790497,-0.015845
31.817139,-0.017549
31.843781,-0.018965
31.870422,-0.019001
31.897064,-0.020888
31.923706,-0.019811
31.950378,-0.017564
31.97702,-0.017646
32.003662,-0.015936
32.030304,-0.013994
32.056946,-0.012252
32.083588,-0.013773
32.110229,-0.015348
32.136871,-0.01549
32.163513,-0.015932
32.190155,-0.016502
32.216797,-0.018204
32.243469,-0.017286
32.270111,-0.016217
32.296753,-0.013053
32.323395,-0.010757
32.350037,-0.010682
32.376678,-0.012283
32.40332,-0.011475
32.429962,-0.0127
32.456604,-0.013144
32.483246,-0.014766
32.509888,-0.017464
32.53656,-0.016839
32.563202,-0.018682
32.589844,-0.017527
32.616486,-0.017202
32.643127,-0.017092
32.669769,-0.01762
32.696411,-0.015484
32.723053,-0.01537
32.749695,-0.015953
32.776337,-0.018325
32.803009,-0.017868
32.829651,-0.01849
32.856293,-0.01919
32.882935,-0.017873
32.909576,-0.016582
32.936218,-0.012283
32.96286,-0.009679
32.989502,-0.008714
33.016144,-0.006148
33.042786,-0.00447
33.069427,-0.00637
33.0961,-0.007261
33.122742,-0.010469
33.149384,-0.010485
33.176025,-0.011571
33.202667,-0.012718
33.229309,-0.011093
33.255951,-0.011499
33.282593,-0.009
33.309235,-0.008998
33.335876,-0.010625
33.362549,-0.011866
33.389191,-0.010615
33.415833,-0.011182
33.442474,-0.01042
33.469116,-0.009926
33.495758,-0.010721
33.5224,-0.00749
33.549042,-0.009714
33.575684,-0.011144
33.602325,-0.012848
33.628967,-0.011636
33.65564,-0.011071
33.682281,-0.014833
33.708923,-0.017105
33.735565,-0.017415
33.762207,-0.016105
33.788849,-0.018251
33.815491,-0.014949
33.842133,-0.010728
33.868774,-0.007873
33.895416,-0.006605
33.922089,-0.006458
33.94873,-0.006602
33.975372,-0.011792
34.002014,-0.0153
34.028656,-0.016752
34.055298,-0.015934
34.08194,-0.014211
34.108582,-0.01311
34.135223,-0.00917
34.161865,-0.005088
34.188507,-0.003635
34.215179,-0.003057
34.241821,-0.000413
34.268463,-0.002053
34.295105,-0.005741
34.321747,-0.006601
34.348389,-0.007268
34.375031,-0.006994
34.401672,-0.006392
34.428314,-0.007439
34.454956,-0.006132
34.481628,-0.006824
34.50827,-0.006926
34.534912,-0.007999
34.561554,-0.008544
34.588196,-0.009145
34.614838,-0.010508
34.641479,-0.013003
34.668121,-0.016068
34.694763,-0.015105
34.721405,-0.015732
34.748047,-0.013821
34.774719,-0.013251
34.801361,-0.009777
34.828003,-0.007543
34.854645,-0.00856
34.881287,-0.010429
34.907928,-0.012831
34.93457,-0.011303
34.961212,-0.012412
34.987854,-0.014115
35.014496,-0.014378
35.041168,-0.014068
35.06781,-0.01308
35.094452,-0.012592
35.121094,-0.011924
35.147736,-0.011514
35.174377,-0.010745
35.201019,-0.010739
35.227661,-0.012102
35.254303,-0.012716
35.280945,-0.01263
35.307587,-0.012701
35.334259,-0.012463
35.360901,-0.008704
35.387543,-0.006911
35.414185,-0.006278
35.440826,-0.007771
35.467468,-0.01086
